Texture: mono_dejavu_sans_110.png
0000	0	0	8	18	1
00BD	923	0	931	18	0	1
00BE	932	0	940	18	0	1
00BF	941	0	947	18	2	1
00C0	948	0	955	18	1	1
00C1	956	0	963	18	1	1
00C2	964	0	971	18	1	1
00C3	972	0	979	18	1	1
00C4	980	0	987	18	1	1
00C5	988	0	995	18	1	1
00C6	996	0	1005	18
00C7	1006	0	1013	18	1	1
00C8	1014	0	1021	18	1	1
00C9	0	19	7	37	1	1
00CA	8	19	15	37	1	1
00CB	16	19	23	37	1	1
00CC	24	19	30	37	1	2
00CD	31	19	37	37	1	2
00CE	38	19	44	37	1	2
00CF	45	19	51	37	1	2
00D0	52	19	60	37	0	1
00D1	61	19	68	37	1	1
00D2	69	19	76	37	1	1
00D3	77	19	84	37	1	1
00D4	85	19	92	37	1	1
00D5	93	19	100	37	1	1
00D6	101	19	108	37	1	1
00D7	109	19	116	37	1	1
00D8	117	19	126	37
00D9	127	19	134	37	1	1
00DA	135	19	142	37	1	1
00DB	143	19	150	37	1	1
00DC	151	19	158	37	1	1
00DD	159	19	167	37	0	1
00DE	168	19	175	37	1	1
00DF	176	19	183	37	1	1
00E0	184	19	191	37	1	1
00E1	192	19	199	37	1	1
00E2	200	19	207	37	1	1
00E3	208	19	215	37	1	1
00E4	216	19	223	37	1	1
00E5	224	19	231	37	1	1
00E6	232	19	240	37	0	1
00E7	241	19	248	37	1	1
00E8	249	19	256	37	1	1
00E9	257	19	264	37	1	1
00EA	265	19	272	37	1	1
00EB	273	19	280	37	1	1
00EC	281	19	289	37	1
00ED	290	19	298	37	1
00EE	299	19	307	37	1
00EF	308	19	316	37	1
00F0	317	19	324	37	1	1
00F1	325	19	332	37	1	1
00F2	333	19	340	37	1	1
00F3	341	19	348	37	1	1
00F4	349	19	356	37	1	1
00F5	357	19	364	37	1	1
00F6	365	19	372	37	1	1
00F7	373	19	381	37	0	1
00F8	382	19	391	37
00F9	392	19	399	37	1	1
00FA	400	19	407	37	1	1
00FB	408	19	415	37	1	1
00FC	416	19	423	37	1	1
00FD	424	19	431	37	1	1
00FE	432	19	439	37	1	1
00FF	440	19	447	37	1	1
0100	448	19	455	37	1	1
0101	456	19	463	37	1	1
0102	464	19	471	37	1	1
0103	472	19	479	37	1	1
0104	480	19	488	37	1
0105	489	19	496	37	1	1
0106	497	19	504	37	1	1
0107	505	19	512	37	1	1
0108	513	19	521	37	1
0109	522	19	530	37	1
010A	531	19	538	37	1	1
010B	539	19	546	37	1	1
010C	547	19	555	37	1
010D	556	19	564	37	1
010E	565	19	572	37	1	1
010F	573	19	584	37	1	-3
0110	585	19	593	37	0	1
0111	594	19	602	37	1
0112	603	19	610	37	1	1
0113	611	19	618	37	1	1
0114	619	19	626	37	1	1
0115	627	19	634	37	1	1
0116	635	19	642	37	1	1
0117	643	19	650	37	1	1
0118	651	19	658	37	1	1
0119	659	19	666	37	1	1
011A	667	19	674	37	1	1
011B	675	19	682	37	1	1
011C	683	19	691	37	1
011D	692	19	699	37	1	1
011E	700	19	707	37	1	1
011F	708	19	715	37	1	1
0120	716	19	723	37	1	1
0121	724	19	731	37	1	1
0122	732	19	739	37	1	1
0123	740	19	747	37	1	1
0124	748	19	755	37	1	1
0125	756	19	765	37	-1	1
0126	766	19	775	37
0127	776	19	784	37	0	1
0128	785	19	791	37	1	2
0129	792	19	800	37	1
012A	801	19	807	37	1	2
012B	808	19	816	37	1
012C	817	19	823	37	1	2
012D	824	19	832	37	1
012E	833	19	839	37	1	2
012F	840	19	848	37	1
0130	849	19	855	37	1	2
0131	856	19	864	37	1
0132	865	19	874	37
0133	875	19	884	37
0134	885	19	893	37	1
0135	894	19	901	37	1	1
0136	902	19	910	37	1
0137	911	19	918	37	1	1
0138	919	19	926	37	1	1
0139	927	19	934	37	1	1
013A	935	19	942	37	1	1
013B	943	19	950	37	1	1
013C	951	19	958	37	1	1
013D	959	19	966	37	1	1
013E	967	19	975	37	1
013F	976	19	983	37	1	1
0140	984	19	991	37	1	1
0141	992	19	1001	37	-1	1
0142	1002	19	1010	37	0	1
0143	1011	19	1018	37	1	1
0144	0	38	7	56	1	1
0145	8	38	15	56	1	1
0146	16	38	23	56	1	1
0147	24	38	31	56	1	1
0148	32	38	39	56	1	1
0149	40	38	50	56	-1
014A	51	38	58	56	1	1
014B	59	38	66	56	1	1
014C	67	38	74	56	1	1
014D	75	38	82	56	1	1
014E	83	38	90	56	1	1
014F	91	38	98	56	1	1
0150	99	38	107	56	1
0151	108	38	115	56	1	1
0152	116	38	123	56	1	1
0153	124	38	133	56
0154	134	38	142	56	1
0155	143	38	149	56	2	1
0156	150	38	158	56	1
0157	159	38	165	56	2	1
0158	166	38	174	56	1
0159	175	38	182	56	2
015A	183	38	190	56	1	1
015B	191	38	198	56	1	1
015C	199	38	206	56	1	1
015D	207	38	214	56	1	1
015E	215	38	222	56	1	1
015F	223	38	230	56	1	1
0160	231	38	238	56	1	1
0161	239	38	246	56	1	1
0162	247	38	255	56	0	1
0163	256	38	263	56	1	1
0164	264	38	272	56	0	1
0165	273	38	281	56	1
0166	282	38	290	56	0	1
0167	291	38	298	56	1	1
0168	299	38	306	56	1	1
0169	307	38	314	56	1	1
016A	315	38	322	56	1	1
016B	323	38	330	56	1	1
016C	331	38	338	56	1	1
016D	339	38	346	56	1	1
016E	347	38	354	56	1	1
016F	355	38	362	56	1	1
0170	363	38	371	56	1
0171	372	38	379	56	1	1
0172	380	38	387	56	1	1
0173	388	38	396	56	1
0174	397	38	406	56
0175	407	38	416	56
0176	417	38	425	56	0	1
0177	426	38	433	56	1	1
0178	434	38	442	56	0	1
0179	443	38	450	56	1	1
017A	451	38	458	56	1	1
017B	459	38	466	56	1	1
017C	467	38	474	56	1	1
017D	475	38	482	56	1	1
017E	483	38	490	56	1	1
017F	491	38	498	56	1	1
0180	499	38	508	56
0181	509	38	518	56
0182	519	38	526	56	1	1
0183	527	38	535	56	1
0184	536	38	545	56
0185	546	38	555	56
0186	556	38	563	56	1	1
0187	564	38	573	56	1	-1
0188	574	38	583	56	1	-1
0189	584	38	592	56	0	1
018A	593	38	603	56	-1
018B	604	38	612	56	1
018C	613	38	621	56	1
018D	622	38	631	56
018E	632	38	639	56	1	1
018F	640	38	647	56	1	1
0190	648	38	655	56	1	1
0191	656	38	665	56
0192	666	38	675	56
0193	676	38	685	56
0194	686	38	695	56
0195	696	38	705	56
0196	706	38	714	56	1
0197	715	38	722	56	1	1
0198	723	38	732	56
0199	733	38	741	56	1
019A	742	38	750	56	0	1
019B	751	38	760	56
019C	761	38	770	56
019D	771	38	780	56
019E	781	38	788	56	1	1
019F	789	38	798	56
01A0	799	38	808	56
01A1	809	38	818	56
01A2	819	38	828	56
01A3	829	38	838	56
01A4	839	38	848	56
01A5	849	38	857	56	1
01A6	858	38	866	56	1
01A7	867	38	875	56	1
01A8	876	38	883	56	1	1
01A9	884	38	893	56
01AA	894	38	903	56
01AB	904	38	912	56	0	1
01AC	913	38	922	56
01AD	923	38	931	56	0	1
01AE	932	38	941	56
01AF	942	38	951	56
01B0	952	38	961	56
01B1	962	38	971	56
01B2	972	38	980	56	0	1
01B3	981	38	990	56
01B4	991	38	1000	56
01B5	1001	38	1010	56
01B6	1011	38	1018	56	1	1
01B7	0	57	9	75
01B8	10	57	19	75
01B9	20	57	29	75
01BA	30	57	37	75	1	1
01BB	38	57	46	75	0	1
01BC	47	57	56	75
01BD	57	57	66	75
01BE	67	57	74	75	1	1
01BF	75	57	84	75
01C0	85	57	88	75	3	3
01C1	89	57	96	75	1	1
01C2	97	57	106	75
01C3	107	57	109	75	4	3
01CD	110	57	117	75	1	1
01CE	118	57	125	75	1	1
01CF	126	57	133	75	1	1
01D0	134	57	142	75	1
01D1	143	57	150	75	1	1
01D2	151	57	158	75	1	1
01D3	159	57	166	75	1	1
01D4	167	57	174	75	1	1
01D5	175	57	182	75	1	1
01D6	183	57	190	75	1	1
01D7	191	57	198	75	1	1
01D8	199	57	206	75	1	1
01D9	207	57	214	75	1	1
01DA	215	57	222	75	1	1
01DB	223	57	230	75	1	1
01DC	231	57	238	75	1	1
01DD	239	57	246	75	1	1
01DE	247	57	254	75	1	1
01DF	255	57	262	75	1	1
01E0	263	57	270	75	1	1
01E1	271	57	278	75	1	1
01E2	279	57	288	75
01E3	289	57	297	75	0	1
01E6	298	57	306	75	1
01E7	307	57	314	75	1	1
01E8	315	57	323	75	1
01E9	324	57	331	75	1	1
01EA	332	57	339	75	1	1
01EB	340	57	347	75	1	1
01EC	348	57	355	75	1	1
01ED	356	57	363	75	1	1
01EE	364	57	373	75
01EF	374	57	383	75
01F0	384	57	391	75	1	1
01F4	392	57	399	75	1	1
01F5	400	57	407	75	1	1
01F6	408	57	417	75
01F8	418	57	425	75	1	1
01F9	426	57	433	75	1	1
01FC	434	57	443	75
01FD	444	57	452	75	0	1
01FE	453	57	462	75
01FF	463	57	472	75
0200	473	57	481	75	0	1
0201	482	57	489	75	1	1
0202	490	57	497	75	1	1
0203	498	57	505	75	1	1
0204	506	57	514	75	0	1
0205	515	57	522	75	1	1
0206	523	57	530	75	1	1
0207	531	57	538	75	1	1
0208	539	57	546	75	0	2
0209	547	57	555	75	1
020A	556	57	562	75	1	2
020B	563	57	571	75	1
020C	572	57	580	75	0	1
020D	581	57	588	75	1	1
020E	589	57	596	75	1	1
020F	597	57	604	75	1	1
0210	605	57	614	75
0211	615	57	621	75	2	1
0212	622	57	630	75	1
0213	631	57	637	75	2	1
0214	638	57	646	75	0	1
0215	647	57	654	75	1	1
0216	655	57	662	75	1	1
0217	663	57	670	75	1	1
0218	671	57	678	75	1	1
0219	679	57	686	75	1	1
021A	687	57	695	75	0	1
021B	696	57	703	75	1	1
021C	704	57	713	75
021D	714	57	723	75
021E	724	57	731	75	1	1
021F	732	57	739	75	1	1
0220	740	57	749	75
0221	750	57	759	75
0224	760	57	769	75
0225	770	57	777	75	1	1
0226	778	57	785	75	1	1
0227	786	57	793	75	1	1
0228	794	57	801	75	1	1
0229	802	57	809	75	1	1
022A	810	57	817	75	1	1
022B	818	57	825	75	1	1
022C	826	57	833	75	1	1
022D	834	57	841	75	1	1
022E	842	57	849	75	1	1
022F	850	57	857	75	1	1
0230	858	57	865	75	1	1
0231	866	57	873	75	1	1
0232	874	57	882	75	0	1
0233	883	57	890	75	1	1
0234	891	57	900	75
0235	901	57	910	75
0236	911	57	919	75	0	1
0237	920	57	925	75	1	3
0238	926	57	935	75
0239	936	57	945	75
023A	946	57	955	75
023B	956	57	965	75
023C	966	57	975	75
023D	976	57	985	75
023E	986	57	995	75
023F	996	57	1003	75	1	1
0240	1004	57	1011	75	1	1
0241	1012	57	1021	75
0243	0	76	9	94
0244	10	76	19	94
0245	20	76	29	94
024C	30	76	39	94
024D	40	76	48	94	1
0250	49	76	58	94
0251	59	76	68	94
0252	69	76	78	94
0253	79	76	86	94	1	1
0254	87	76	94	94	1	1
0255	95	76	102	94	1	1
0256	103	76	111	94	0	1
0257	112	76	120	94	0	1
0258	121	76	130	94
0259	131	76	138	94	1	1
025A	139	76	148	94
025B	149	76	155	94	1	2
025C	156	76	164	94	1
025D	165	76	174	94
025E	175	76	184	94
025F	185	76	192	94	1	1
0260	193	76	202	94
0261	203	76	211	94	1
0262	212	76	219	94	1	1
0263	220	76	229	94
0264	230	76	239	94
0265	240	76	247	94	1	1
0266	248	76	255	94	1	1
0267	256	76	263	94	1	1
0268	264	76	273	94
0269	274	76	281	94	1	1
026A	282	76	291	94
026B	292	76	301	94
026C	302	76	311	94
026D	312	76	321	94
026E	322	76	331	94
026F	332	76	341	94
0270	342	76	351	94
0271	352	76	361	94
0272	362	76	371	94
0273	372	76	381	94
0274	382	76	391	94
0275	392	76	401	94
0276	402	76	411	94
0277	412	76	421	94
0278	422	76	431	94
0279	432	76	439	94	1	1
027A	440	76	447	94	1	1
027B	448	76	457	94
027C	458	76	465	94	1	1
027D	466	76	473	94	1	1
027E	474	76	481	94	1	1
027F	482	76	489	94	1	1
0280	490	76	499	94
0281	500	76	509	94
0282	510	76	517	94	1	1
0283	518	76	527	94
0284	528	76	537	94
0285	538	76	547	94
0286	548	76	557	94
0287	558	76	565	94	1	1
0288	566	76	573	94	1	1
0289	574	76	583	94
028A	584	76	593	94
028B	594	76	603	94
028C	604	76	613	94
028D	614	76	623	94
028E	624	76	633	94
028F	634	76	643	94
0290	644	76	653	94
0291	654	76	663	94
0292	664	76	673	94
0293	674	76	683	94
0294	684	76	691	94	1	1
0295	692	76	699	94	1	1
0296	700	76	707	94	1	1
0297	708	76	715	94	1	1
0298	716	76	725	94
0299	726	76	733	94	1	1
029A	734	76	743	94
029B	744	76	753	94
029C	754	76	763	94
029D	764	76	773	94
029E	774	76	783	94
029F	784	76	791	94	1	1
02A0	792	76	800	94	0	1
02A1	801	76	808	94	1	1
02A2	809	76	816	94	1	1
02A3	817	76	826	94
02A4	827	76	836	94
02A5	837	76	846	94
02A6	847	76	856	94
02A7	857	76	864	94	1	1
02A8	865	76	874	94
02A9	875	76	884	94
02AA	885	76	894	94
02AB	895	76	904	94
02AC	905	76	914	94
02AD	915	76	920	94	2	2
02AE	921	76	930	94
02AF	931	76	940	94
02B0	941	76	946	94	2	2
02B1	947	76	952	94	2	2
02B2	953	76	958	94	2	2
02B3	959	76	964	94	2	2
02B4	965	76	970	94	2	2
02B5	971	76	976	94	2	2
02B6	977	76	982	94	2	2
02B7	983	76	990	94	1	1
02B8	991	76	997	94	2	1
02B9	998	76	1001	94	3	3
02BB	1002	76	1005	94	3	3
02BC	1006	76	1009	94	3	3
02BD	1010	76	1013	94	3	3
02BE	1014	76	1017	94	3	3
02BF	1018	76	1021	94	3	3
02C0	0	95	5	113	2	2
02C1	6	95	11	113	2	2
02C6	12	95	18	113	2	1
02C7	19	95	25	113	2	1
02C8	26	95	27	113	4	4
02C9	28	95	33	113	2	2
02CC	34	95	35	113	4	4
02CD	36	95	41	113	2	2
02D0	42	95	45	113	3	3
02D1	46	95	49	113	3	3
02D2	50	95	53	113	3	3
02D3	54	95	57	113	3	3
02D6	58	95	63	113	2	2
02D7	64	95	69	113	2	2
02D8	70	95	75	113	2	2
02D9	76	95	78	113	4	3
02DA	79	95	83	113	2	3
02DB	84	95	87	113	3	3
02DC	88	95	93	113	2	2
02DD	94	95	99	113	2	2
02DE	100	95	110	113	-3	2
02E0	111	95	116	113	2	2
02E1	117	95	122	113	2	2
02E2	123	95	128	113	2	2
02E3	129	95	136	113	1	1
02E4	137	95	142	113	2	2
02E5	143	95	148	113	2	2
02E6	149	95	154	113	2	2
02E7	155	95	160	113	2	2
02E8	161	95	166	113	2	2
02E9	167	95	172	113	2	2
02EE	173	95	180	113	1	1
02F3	181	95	184	113	3	3
0300	185	95	189	113	1	4
0301	190	95	194	113	3	2
0302	195	95	201	113	2	1
0303	202	95	207	113	2	2
0304	208	95	213	113	2	2
0305	214	95	223	113
0306	224	95	229	113	2	2
0307	230	95	232	113	4	3
0308	233	95	238	113	2	2
0309	239	95	244	113	2	2
030A	245	95	249	113	2	3
030B	250	95	255	113	2	2
030C	256	95	262	113	2	1
030D	263	95	266	113	3	3
030E	267	95	274	113	1	1
030F	275	95	281	113	1	2
0310	282	95	287	113	2	2
0311	288	95	293	113	2	2
0312	294	95	297	113	3	3
0313	298	95	301	113	3	3
0314	302	95	305	113	3	3
0315	306	95	309	113	3	3
0316	310	95	314	113	2	3
0317	315	95	319	113	2	3
0318	320	95	324	113	2	3
0319	325	95	329	113	3	2
031A	330	95	335	113	2	2
031B	336	95	339	113	3	3
031C	340	95	343	113	3	3
031D	344	95	349	113	2	2
031E	350	95	355	113	2	2
031F	356	95	361	113	2	2
0320	362	95	367	113	2	2
0321	368	95	372	113	4	1
0322	373	95	377	113	1	4
0323	378	95	380	113	4	3
0324	381	95	386	113	2	2
0325	387	95	390	113	3	3
0326	391	95	394	113	3	3
0327	395	95	398	113	3	3
0328	399	95	402	113	3	3
0329	403	95	406	113	3	3
032A	407	95	412	113	2	2
032B	413	95	420	113	1	1
032C	421	95	427	113	2	1
032D	428	95	434	113	2	1
032E	435	95	440	113	2	2
032F	441	95	446	113	2	2
0330	447	95	452	113	2	2
0331	453	95	458	113	2	2
0332	459	95	468	113
0333	469	95	478	113
0334	479	95	487	113	1
0335	488	95	494	113	1	2
0336	495	95	504	113
0337	505	95	514	113
0338	515	95	524	113
0339	525	95	528	113	3	3
033A	529	95	534	113	2	2
033B	535	95	540	113	2	2
033C	541	95	548	113	1	1
033D	549	95	554	113	2	2
033E	555	95	558	113	3	3
033F	559	95	568	113
0343	569	95	572	113	3	3
0358	573	95	575	113	7
0361	576	95	589	113	-2	-2
0374	590	95	593	113	3	3
0375	594	95	597	113	3	3
037A	598	95	601	113	3	3
037E	602	95	605	113	2	4
0384	606	95	610	113	3	2
0385	611	95	616	113	2	2
0386	617	95	626	113	-1	1
0387	627	95	629	113	3	4
0388	630	95	641	113	-3	1
0389	642	95	653	113	-3	1
038A	654	95	664	113	-3	2
038C	665	95	675	113	-2	1
038E	676	95	688	113	-4	1
038F	689	95	699	113	-1
0390	700	95	706	113	2	1
0391	707	95	714	113	1	1
0392	715	95	722	113	1	1
0393	723	95	730	113	1	1
0394	731	95	740	113
0395	741	95	748	113	1	1
0396	749	95	756	113	1	1
0397	757	95	764	113	1	1
0398	765	95	774	113
0399	775	95	781	113	1	2
039A	782	95	790	113	1
039B	791	95	800	113
039C	801	95	808	113	1	1
039D	809	95	816	113	1	1
039E	817	95	824	113	1	1
039F	825	95	832	113	1	1
03A0	833	95	840	113	1	1
03A1	841	95	848	113	1	1
03A3	849	95	858	113
03A4	859	95	867	113	0	1
03A5	868	95	876	113	0	1
03A6	877	95	886	113
03A7	887	95	894	113	1	1
03A8	895	95	904	113
03A9	905	95	913	113	1
03AA	914	95	920	113	1	2
03AB	921	95	929	113	0	1
03AC	930	95	939	113
03AD	940	95	946	113	1	2
03AE	947	95	954	113	1	1
03AF	955	95	961	113	2	1
03B0	962	95	971	113
03B1	972	95	981	113
03B2	982	95	990	113	1
03B3	991	95	1000	113
03B4	1001	95	1010	113
03B5	1011	95	1017	113	1	2
03B6	0	114	7	132	1	1
03B7	8	114	15	132	1	1
03B8	16	114	25	132
03B9	26	114	32	132	2	1
03BA	33	114	40	132	1	1
03BB	41	114	50	132
03BC	51	114	59	132	1
03BD	60	114	69	132
03BE	70	114	77	132	1	1
03BF	78	114	85	132	1	1
03C0	86	114	95	132
03C1	96	114	104	132	1
03C2	105	114	112	132	1	1
03C3	113	114	122	132
03C4	123	114	130	132	1	1
03C5	131	114	140	132
03C6	141	114	150	132
03C7	151	114	160	132
03C8	161	114	170	132
03C9	171	114	180	132
03CA	181	114	187	132	2	1
03CB	188	114	197	132
03CC	198	114	205	132	1	1
03CD	206	114	215	132
03CE	216	114	225	132
03D0	226	114	236	132	0	-1
03D1	237	114	246	132
03D2	247	114	257	132	0	-1
03D3	258	114	272	132	-4	-1
03D4	273	114	283	132	0	-1
03D5	284	114	293	132
03D6	294	114	303	132
03D7	304	114	313	132
03D8	314	114	323	132
03D9	324	114	333	132
03DA	334	114	343	132
03DB	344	114	353	132
03DC	354	114	361	132	1	1
03DD	362	114	370	132	0	1
03DE	371	114	380	132
03DF	381	114	390	132
03E0	391	114	400	132
03E1	401	114	410	132
03F0	411	114	420	132
03F1	421	114	429	132	1
03F2	430	114	437	132	1	1
03F3	438	114	443	132	1	3
03F4	444	114	453	132
03F5	454	114	461	132	1	1
03F6	462	114	469	132	1	1
03F7	470	114	477	132	1	1
03F8	478	114	485	132	1	1
03F9	486	114	493	132	1	1
03FA	494	114	503	132
03FB	504	114	513	132
03FC	514	114	523	132
03FD	524	114	531	132	1	1
03FE	532	114	539	132	1	1
03FF	540	114	547	132	1	1
0400	548	114	555	132	1	1
0401	556	114	563	132	1	1
0402	564	114	574	132	-1
0403	575	114	582	132	1	1
0404	583	114	590	132	1	1
0405	591	114	598	132	1	1
0406	599	114	605	132	1	2
0407	606	114	612	132	1	2
0408	613	114	620	132	1	1
0409	621	114	630	132
040A	631	114	640	132
040B	641	114	651	132	-1
040C	652	114	660	132	1
040D	661	114	668	132	1	1
040E	669	114	678	132
040F	679	114	686	132	1	1
0410	687	114	694	132	1	1
0411	695	114	702	132	1	1
0412	703	114	710	132	1	1
0413	711	114	718	132	1	1
0414	719	114	727	132	1
0415	728	114	735	132	1	1
0416	736	114	746	132	0	-1
0417	747	114	754	132	1	1
0418	755	114	762	132	1	1
0419	763	114	770	132	1	1
041A	771	114	779	132	1
041B	780	114	788	132	0	1
041C	789	114	796	132	1	1
041D	797	114	804	132	1	1
041E	805	114	812	132	1	1
041F	813	114	820	132	1	1
0420	821	114	828	132	1	1
0421	829	114	836	132	1	1
0422	837	114	845	132	0	1
0423	846	114	855	132
0424	856	114	864	132	1
0425	865	114	872	132	1	1
0426	873	114	881	132	1
0427	882	114	889	132	1	1
0428	890	114	898	132	1
0429	899	114	908	132	1	-1
042A	909	114	918	132
042B	919	114	928	132
042C	929	114	936	132	1	1
042D	937	114	944	132	1	1
042E	945	114	954	132
042F	955	114	962	132	1	1
0430	963	114	970	132	1	1
0431	971	114	979	132	0	1
0432	980	114	987	132	1	1
0433	988	114	994	132	2	1
0434	995	114	1003	132	1
0435	1004	114	1011	132	1	1
0436	1012	114	1022	132	0	-1
0437	0	133	7	151	1	1
0438	8	133	15	151	1	1
0439	16	133	23	151	1	1
043A	24	133	31	151	1	1
043B	32	133	40	151	0	1
043C	41	133	49	151	1
043D	50	133	57	151	1	1
043E	58	133	65	151	1	1
043F	66	133	73	151	1	1
0440	74	133	81	151	1	1
0441	82	133	89	151	1	1
0442	90	133	96	151	1	2
0443	97	133	104	151	1	1
0444	105	133	113	151	1
0445	114	133	121	151	1	1
0446	122	133	130	151	1
0447	131	133	138	151	1	1
0448	139	133	147	151	1
0449	148	133	157	151
044A	158	133	167	151
044B	168	133	177	151
044C	178	133	185	151	1	1
044D	186	133	193	151	1	1
044E	194	133	203	151
044F	204	133	212	151	1
0450	213	133	220	151	1	1
0451	221	133	228	151	1	1
0452	229	133	238	151
0453	239	133	245	151	2	1
0454	246	133	253	151	1	1
0455	254	133	261	151	1	1
0456	262	133	270	151	1
0457	271	133	279	151	1
0458	280	133	285	151	1	3
0459	286	133	295	151
045A	296	133	305	151
045B	306	133	314	151	0	1
045C	315	133	322	151	1	1
045D	323	133	330	151	1	1
045E	331	133	338	151	1	1
045F	339	133	346	151	1	1
0462	347	133	356	151
0463	357	133	366	151
0472	367	133	376	151
0473	377	133	386	151
0490	387	133	394	151	1	1
0491	395	133	401	151	2	1
0492	402	133	411	151
0493	412	133	420	151	0	1
0494	421	133	429	151	1
0495	430	133	437	151	1	1
0496	438	133	447	151
0497	448	133	457	151
0498	458	133	465	151	1	1
0499	466	133	473	151	1	1
049A	474	133	483	151
049B	484	133	492	151	1
04A2	493	133	502	151
04A3	503	133	512	151
04A4	513	133	522	151
04A5	523	133	532	151
04AA	533	133	540	151	1	1
04AB	541	133	548	151	1	1
04AC	549	133	558	151
04AD	559	133	566	151	1	1
04AE	567	133	575	151	0	1
04AF	576	133	585	151
04B0	586	133	595	151
04B1	596	133	605	151
04B2	606	133	615	151
04B3	616	133	625	151
04BA	626	133	635	151
04BB	636	133	643	151	1	1
04C0	644	133	650	151	1	2
04C1	651	133	661	151	0	-1
04C2	662	133	672	151	0	-1
04C3	673	133	682	151
04C4	683	133	691	151	1
04C7	692	133	699	151	1	1
04C8	700	133	707	151	1	1
04CB	708	133	717	151
04CC	718	133	725	151	1	1
04CF	726	133	729	151	2	4
04D0	730	133	737	151	1	1
04D1	738	133	745	151	1	1
04D2	746	133	753	151	1	1
04D3	754	133	761	151	1	1
04D4	762	133	771	151
04D5	772	133	780	151	0	1
04D6	781	133	788	151	1	1
04D7	789	133	796	151	1	1
04D8	797	133	804	151	1	1
04D9	805	133	812	151	1	1
04DA	813	133	820	151	1	1
04DB	821	133	828	151	1	1
04DC	829	133	839	151	0	-1
04DD	840	133	850	151	0	-1
